0.40732,0.33479,-0.25756,-0.029182,0.28957,0.39195,0.065573,0.41365,-0.25756,0.088431,-0.086391,-0.25756,-0.37613
-0.022375,-0.32337,-0.057132,-0.68931,0.017282,-0.26052,0.022011,0.1275,-0.057132,-0.30878,-0.22758,-0.057132,0.054496
0.14111,0.29293,-0.6719,0.58048,0.11879,0.27742,-0.13182,-0.34063,-0.6719,0.13396,-0.20898,-0.6719,-0.59643
0.06202,-0.21206,-0.38082,-0.16678,-0.055838,-0.34144,-0.2133,-0.22288,-0.38082,-0.48485,0.083948,-0.38082,-0.2771
0.71053,-0.17163,-0.36421,-0.36269,0.2373,-0.27215,-0.045275,-0.0011884,-0.36421,0.099346,0.076879,-0.36421,0.55039
0.23574,-0.13947,-0.082155,-0.26683,-0.21366,-0.39958,-0.095786,-0.70852,-0.082155,-0.18554,-0.41442,-0.082155,0.30113
0.0064526,-0.051171,-0.010955,0.43316,-0.27623,-0.11878,-0.19706,0.19204,-0.010955,0.031814,-0.194,-0.010955,0.26027
0.64961,-0.18383,-0.082047,0.50185,-0.11871,0.36635,0.0082058,0.11997,-0.082047,0.23236,-0.44586,-0.082047,0.065389
-0.32344,-0.0043685,0.46056,-0.17282,0.33682,0.10439,-0.29285,-0.19512,0.46056,0.39676,0.29542,0.46056,0.1306
-0.15759,0.029429,-1.8477,-0.87885,-1.5118,-1.7475,-1.823,-1.0882,-1.8477,-1.5201,-1.4481,-1.8477,0.20889
-0.10299,-0.15011,-0.11258,-0.69832,-0.15765,0.31434,0.13935,-0.32614,-0.11258,-0.088014,0.015504,-0.11258,-0.033533
0.40838,0.34475,-0.12955,0.18398,-0.070386,0.059732,0.050812,-0.018935,-0.12955,-0.091076,-0.19822,-0.12955,-0.037127
0.43739,0.26729,0.27254,0.061252,-0.090929,0.12849,0.096161,0.022338,0.27254,0.032589,0.41627,0.27254,0.40218
-0.7652,-0.11709,0.0072891,-0.81809,-0.060822,-1.0497,0.4148,-0.23522,0.0072891,-0.038654,-0.29119,0.0072891,0.27309
0.35435,0.044857,0.26038,0.024231,-0.090041,-0.011207,0.26364,-0.37505,0.26038,0.16233,-0.33198,0.26038,0.39914
0.26649,-0.056538,0.12096,0.053203,0.37847,0.50426,0.68439,-0.24477,0.12096,-0.082615,0.43763,0.12096,-0.27465
0.33878,0.23963,-0.23193,0.16862,0.23821,1.0963,0.11008,0.27375,-0.23193,-0.20894,-0.23853,-0.23193,-0.076059
0.45295,-0.15842,0.03226,0.24201,0.16097,0.31855,0.049237,0.1184,0.03226,-0.31345,0.27759,0.03226,0.36329
-0.02335,0.42351,-0.29472,-0.18682,0.040949,-0.51442,-0.28425,0.14698,-0.29472,0.5148,0.061156,-0.29472,-0.17181
-0.54641,-0.33408,-0.67594,-0.41606,-0.17486,-0.21085,-0.40207,-0.13151,-0.67594,0.23469,0.13066,-0.67594,-0.62256
